,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
1,Kodak Black,"Tyler, The Creator",KILLY,"Tyler, The Creator",Cardi B,Kanye West,"Tyler, The Creator",Travis Scott,Travis Scott,Travis Scott,Michael Bublé,Frank Ocean,Oh Wonder,Ariana Grande,Ariana Grande,XXXTENTACION,"Tyler, The Creator","Tyler, The Creator","Tyler, The Creator","Tyler, The Creator","Tyler, The Creator",Ariana Grande,Rex Orange County,Juice WRLD,COTIS,"Tyler, The Creator",Harry Styles,Mac Miller,Kanye West,"Tyler, The Creator","Tyler, The Creator",Kendrick Lamar,"Tyler, The Creator","Tyler, The Creator","Tyler, The Creator","Tyler, The Creator",Worrystone,Ariana Grande,SZA,SZA,SZA,"Tyler, The Creator",Doja Cat,Lorde,Lorde,Kevin Abstract,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Lorde,Lorde,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,"Tyler, The Creator",Taylor Swift,Taylor Swift,Taylor Swift,boygenius,Olivia Rodrigo,Taylor Swift,Taylor Swift,Taylor Swift,Lucy Dacus,Lucy Dacus,The 1975,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Orville Peck,Sabrina Carpenter,Gracie Abrams,"Tyler, The Creator","Tyler, The Creator",Ariana Grande,"Tyler, The Creator",Ariana Grande,Ariana Grande,Ariana Grande,Ethel Cain,Lorde,Lucy Dacus,Ryan Beatty,Taylor Swift,Ethel Cain,Ryan Beatty,Zach Bryan,Taylor Swift
2,"Tyler, The Creator",Kanye West,"Tyler, The Creator",KILLY,BROCKHAMPTON,Cardi B,Kanye West,COTIS,COTIS,Kanye West,Ariana Grande,21 Savage,Trippie Redd,Frank Ocean,BROCKHAMPTON,Khalid,Juice WRLD,Kid Cudi,Chance the Rapper,Chance the Rapper,Post Malone,"Tyler, The Creator",Christopher Jackson,COTIS,Rex Orange County,COTIS,Dominic Fike,Kanye West,Rex Orange County,Frank Ocean,Flo Milli,Tino Drima,Kendrick Lamar,Mac Miller,Mac Miller,Flo Milli,Doja Cat,"Tyler, The Creator",Doja Cat,Doja Cat,Rex Orange County,Mitski,Lorde,Doja Cat,"Tyler, The Creator",Lorde,"Tyler, The Creator","Tyler, The Creator","Tyler, The Creator","Tyler, The Creator","Tyler, The Creator",Lorde,Lorde,"Tyler, The Creator",Taylor Swift,Lorde,"Tyler, The Creator","Tyler, The Creator",Lana Del Rey,The 1975,Phoebe Bridgers,Phoebe Bridgers,Phoebe Bridgers,Taylor Swift,Phoebe Bridgers,"Tyler, The Creator",Ethel Cain,grentperez,boygenius,Olivia Rodrigo,boygenius,Lorde,Taylor Swift,boygenius,Taylor Swift,Noah Kahan,Chappell Roan,Gracie Abrams,Orville Peck,Zach Bryan,Taylor Swift,"Tyler, The Creator",Ariana Grande,Ariana Grande,"Tyler, The Creator",Ariana Grande,grentperez,grentperez,Lorde,Lorde,Ariana Grande,ROLE MODEL,Ethel Cain,Ryan Beatty,Taylor Swift,Ariana Grande,Taylor Swift,The 1975
3,Migos,Kali Uchis,Calvin Harris,Kendrick Lamar,Aminé,BROCKHAMPTON,BROCKHAMPTON,Juice WRLD,Kanye West,COTIS,Justin Bieber,Calvin Harris,Frank Ocean,Trippie Redd,Aminé,"Tyler, The Creator",Ariana Grande,Y2K,Fleetwood Mac,BROCKHAMPTON,Travis Scott,Rex Orange County,Post Malone,Frank Ocean,Dominic Fike,Harry Styles,Rex Orange County,Rex Orange County,Frank Ocean,Rex Orange County,Rex Orange County,Frank Ocean,Lorde,Kendrick Lamar,Miley Cyrus,Mac Miller,Mac Miller,Doja Cat,"Tyler, The Creator","Tyler, The Creator",Doja Cat,Doja Cat,"Tyler, The Creator",Mitski,ABBA,"Tyler, The Creator",Lorde,Lorde,Lorde,Lorde,Lorde,"Tyler, The Creator","Tyler, The Creator",Taylor Swift,"Tyler, The Creator",Lana Del Rey,Lorde,Lorde,"Tyler, The Creator",Lorde,Lana Del Rey,"Tyler, The Creator",SZA,The 1975,Lana Del Rey,Lana Del Rey,Lorde,Taylor Swift,Lorde,boygenius,Lorde,boygenius,boygenius,Lana Del Rey,Olivia Rodrigo,Olivia Rodrigo,Sabrina Carpenter,Chappell Roan,Gracie Abrams,Gracie Abrams,Gracie Abrams,Taylor Swift,Gracie Abrams,Taylor Swift,Sabrina Carpenter,Sabrina Carpenter,Lucy Dacus,Lorde,Kali Uchis,Addison Rae,Ethel Cain,Ethel Cain,ROLE MODEL,Ethel Cain,Cynthia Erivo,Cynthia Erivo,Sabrina Carpenter,Lana Del Rey
4,21 Savage,Khalid,Kodak Black,Calvin Harris,"Tyler, The Creator",Kendrick Lamar,KILLY,KIDS SEE GHOSTS,Juice WRLD,Kendrick Lamar,Mariah Carey,Kid Cudi,Lil Peep,Calvin Harris,"Tyler, The Creator",Travis Scott,BROCKHAMPTON,Ween,The All-American Rejects,Queen,Chance the Rapper,Post Malone,Frank Ocean,Post Malone,Surfaces,Dominic Fike,COTIS,"Tyler, The Creator","Tyler, The Creator",COTIS,Frank Ocean,"Tyler, The Creator",Tame Impala,Lorde,Kendrick Lamar,Lorde,Flo Milli,Taylor Swift,Mac Miller,Frank Ocean,"Tyler, The Creator",Lorde,Mitski,"Tyler, The Creator",Doja Cat,Taylor Swift,Phoebe Bridgers,Phoebe Bridgers,PinkPantheress,Doja Cat,Mac Miller,Doja Cat,Doja Cat,Harry Styles,Harry Styles,"Tyler, The Creator",Doja Cat,Olivia Rodrigo,Lorde,"Tyler, The Creator",Kacey Musgraves,Olivia Rodrigo,"Tyler, The Creator",Lana Del Rey,"Tyler, The Creator",The 1975,The 1975,Ethel Cain,Taylor Swift,Phoebe Bridgers,The 1975,Lucy Dacus,Phoebe Bridgers,Fiona Apple,Noah Kahan,boygenius,Olivia Rodrigo,Sabrina Carpenter,Chappell Roan,Sabrina Carpenter,Zach Bryan,Zach Bryan,Taylor Swift,Gracie Abrams,Clairo,Clairo,Sabrina Carpenter,Lucy Dacus,Taylor Swift,Ariana Grande,"Tyler, The Creator",Ryan Beatty,Addison Rae,ROLE MODEL,Ariana Grande,Taylor Swift,Ariana Grande,Phoebe Bridgers
5,XXXTENTACION,6LACK,Kanye West,BROCKHAMPTON,Kendrick Lamar,Aminé,Cardi B,Kanye West,"Tyler, The Creator",Juice WRLD,Cardi B,Post Malone,Lil Uzi Vert,Lil Peep,Cardi B,Kendrick Lamar,Aminé,Chance the Rapper,Y2K,Y2K,XXXTENTACION,Chance the Rapper,Corinne Bailey Rae,Travis Scott,Post Malone,Rex Orange County,24kGoldn,Travis Scott,Kendrick Lamar,Mac Miller,Mac Miller,Mac Miller,The Long Faces,COTIS,Tame Impala,Harry Styles,Harry Styles,Mac Miller,Kali Uchis,Paul Brandt,Frank Ocean,SZA,Taylor Swift,Taylor Swift,Phoebe Bridgers,Phoebe Bridgers,Kevin Abstract,Lana Del Rey,Kevin Abstract,Mitski,Doja Cat,Olivia Rodrigo,Olivia Rodrigo,Rex Orange County,Rex Orange County,Rex Orange County,Rex Orange County,Carly Rae Jepsen,Declan McKenna,SZA,"Tyler, The Creator",Lorde,Omar Apollo,boygenius,boygenius,Lorde,Olivia Rodrigo,Lorde,Phoebe Bridgers,Lana Del Rey,Olivia Rodrigo,Phoebe Bridgers,"Tyler, The Creator",Taylor Swift,Kacey Musgraves,Sabrina Carpenter,Noah Kahan,Noah Kahan,Noah Kahan,Fiona Apple,Lana Del Rey,Sabrina Carpenter,Frank Ocean,Sabrina Carpenter,Frank Ocean,Cynthia Erivo,Taylor Swift,beabadoobee,ROLE MODEL,Sheryl Crow,Addison Rae,Chappell Roan,Sabrina Carpenter,Sabrina Carpenter,Sabrina Carpenter,Sabrina Carpenter,Gracie Abrams,boygenius
6,MadeinTYO,Aminé,The Chainsmokers,Kali Uchis,Rex Orange County,"Tyler, The Creator",Aminé,Chance the Rapper,KIDS SEE GHOSTS,Lil Peep,Kanye West,Childish Gambino,benny blanco,Kendrick Lamar,Rex Orange County,Kanye West,Cardi B,BROCKHAMPTON,Ween,Fleetwood Mac,BROCKHAMPTON,Comethazine,Arizona Zervas,Calvin Harris,"Tyler, The Creator",KYLE,KYLE,Frank Ocean,Trippie Redd,Kendrick Lamar,Okean Elzi,Kanye West,Jaden,Miley Cyrus,The Long Faces,Doja Cat,John Lennon,SZA,Flo Milli,Taylor Swift,Dua Lipa,Rex Orange County,SZA,Flo Milli,Mitski,PinkPantheress,Mitski,PinkPantheress,Kali Uchis,Playboi Carti,Rex Orange County,Mitski,Harry Styles,Doja Cat,Lana Del Rey,Olivia Rodrigo,Lana Del Rey,Conan Gray,The 1975,Lana Del Rey,Lorde,Lana Del Rey,Lana Del Rey,Phoebe Bridgers,The 1975,Harry Styles,Lana Del Rey,Lana Del Rey,Lana Del Rey,"Tyler, The Creator",Mitski,Frank Ocean,Olivia Rodrigo,Kacey Musgraves,boygenius,The 1975,Zach Bryan,Zach Bryan,Sabrina Carpenter,Chappell Roan,Lucy Dacus,Lucy Dacus,Sabrina Carpenter,Charli xcx,Taylor Swift,Taylor Swift,Gracie Abrams,Sabrina Carpenter,Lucy Dacus,ROLE MODEL,ROLE MODEL,Audrey Hobert,Lorde,Ryan Harris,Lana Del Rey,Olivia Rodrigo,Conan Gray,Glee Cast
7,6LACK,21 Savage,Yung Gravy,XXXTENTACION,Kali Uchis,Bhad Bhabie,Post Malone,Tyga,Rae Sremmurd,Anderson .Paak,BROCKHAMPTON,Drake,Halsey,Childish Gambino,Kali Uchis,KILLY,Frank Ocean,bbno$,bbno$,The All-American Rejects,KILLY,Kid Cudi,Comethazine,Rex Orange County,The Weeknd,BROCKHAMPTON,Kali Uchis,Lil Xxel,Kali Uchis,Kanye West,Kendrick Lamar,Lorde,Tino Drima,Jaden,Tino Drima,Miley Cyrus,Childish Gambino,Flo Milli,Taylor Swift,Rex Orange County,Cardi B,Mac Miller,ABBA,SZA,Kali Uchis,Mitski,Lana Del Rey,Mitski,Doja Cat,Frank Ocean,Olivia Rodrigo,Frank Ocean,ABBA,Olivia Rodrigo,Phoebe Bridgers,Harry Styles,Olivia Rodrigo,Rex Orange County,Phoebe Bridgers,Declan McKenna,SZA,The 1975,Lorde,Kali Uchis,Lorde,Lucy Dacus,Phoebe Bridgers,"Tyler, The Creator",Kali Uchis,Mitski,Lana Del Rey,"Tyler, The Creator",Lana Del Rey,Lorde,Harry Styles,Lana Del Rey,Tim McGraw,Phoebe Bridgers,Lana Del Rey,Taylor Swift,Charli xcx,Frank Ocean,Chappell Roan,Clairo,SZA,Kendrick Lamar,Clairo,Clairo,grentperez,Andrea Bocelli,Sabrina Carpenter,Lorde,Ariana Grande,The 1975,"Tyler, The Creator",Wicked Movie Cast,Olivia Rodrigo,Ethel Cain
8,NAV,Migos,21 Savage,Yung Gravy,Rae Sremmurd,KILLY,Drake,Tiësto,Action Bronson,"Tyler, The Creator",What So Not,KYLE,Lil Yachty,benny blanco,Khalid,Juice WRLD,Rae Sremmurd,Frank Ocean,Kid Cudi,Kid Cudi,Anderson .Paak,Matt Simons,"Tyler, The Creator",Christopher Jackson,Harry Styles,The Weeknd,Noah Cyrus,KYLE,COTIS,Trippie Redd,Don Toliver,Girlpool,Paris Hilton,Tino Drima,Harry Styles,Kendrick Lamar,blackbear,Kendrick Lamar,Childish Gambino,Mac Miller,Bakar,Frank Ocean,Olivia Rodrigo,Olivia Rodrigo,SZA,Lana Del Rey,Doja Cat,Doja Cat,Mitski,SZA,Mitski,Kali Uchis,Avril Lavigne,Joji,Doja Cat,Doja Cat,Phoebe Bridgers,Phoebe Bridgers,Doja Cat,Phoebe Bridgers,PinkPantheress,Kacey Musgraves,The 1975,Lorde,Kali Uchis,Glee Cast,Nicki Minaj,Olivia Rodrigo,Lucy Dacus,Glee Cast,Ethel Cain,The 1975,The 1975,Phoebe Bridgers,Gracie Abrams,Zach Bryan,boygenius,Lana Del Rey,Olivia Rodrigo,Kacey Musgraves,Orville Peck,Lana Del Rey,Clairo,Frank Ocean,Cynthia Erivo,Gracie Abrams,beabadoobee,Addison Rae,Addison Rae,Sabrina Carpenter,Kali Uchis,boygenius,Chappell Roan,boygenius,Addison Rae,Chappell Roan,boygenius,Azealia Banks
9,Yung Gravy,Kodak Black,Drake,Rae Sremmurd,Jaden,Kali Uchis,Rex Orange County,A$AP Rocky,Kendrick Lamar,XXXTENTACION,Kehlani,Nappy Roots,Juice WRLD,Aminé,Jaden,BROCKHAMPTON,Childish Gambino,Trippie Redd,COTIS,Ween,Matt Simons,Action Bronson,Chance the Rapper,Kid Cudi,Likybo,Yung Gravy,BROCKHAMPTON,COTIS,Lil Xxel,Lil Yachty,Kanye West,KYLE,John Mayer,Harry Styles,COTIS,Tame Impala,"Tyler, The Creator",Kehlani,Travis Scott,Kendrick Lamar,Taylor Swift,WILLOW,Rex Orange County,Rex Orange County,Taylor Swift,ABBA,PinkPantheress,Britney Spears,SZA,Olivia Rodrigo,Frank Ocean,Kevin Abstract,Rex Orange County,COIN,ABBA,Phoebe Bridgers,Kevin Abstract,Harry Styles,SZA,Steve Lacy,The 1975,PinkPantheress,PinkPantheress,SZA,SZA,Frank Ocean,Lucy Dacus,Kali Uchis,"Tyler, The Creator",Lorde,Lucy Dacus,Paolo Nutini,Kali Uchis,Gracie Abrams,Lucy Dacus,Lucy Dacus,Phoebe Bridgers,Conan Gray,Lorde,Charli xcx,Chappell Roan,Olivia Rodrigo,Zach Bryan,beabadoobee,beabadoobee,Frank Ocean,SZA,SZA,Sabrina Carpenter,Kali Uchis,Kacey Musgraves,Phoebe Bridgers,Audrey Hobert,Clairo,Olivia Rodrigo,"Tyler, The Creator",Chappell Roan,"Tyler, The Creator"
10,Quinn XCII,Quinn XCII,Kali Uchis,The Chainsmokers,Famous Dex,Jaden,Zac Efron,Drake,Migos,Childish Gambino,José Feliciano,Michael Bublé,blackbear,Halsey,Marc E. Bassy,Kodak Black,Kid Cudi,Aminé,Tiny Meat Gang,Ariana Grande,Kanye West,KYLE,Lorde,Ariana Grande,Travis Scott,bbno$,Mac Miller,Kendrick Lamar,Lil Yachty,Travis Scott,The Long Faces,The Long Faces,Aerosmith,Tame Impala,John Mayer,blackbear,Megan Thee Stallion,Eminem,Kendrick Lamar,Kali Uchis,Lorde,Olivia Rodrigo,The Rolling Stones,Kali Uchis,Flo Milli,Doja Cat,Olivia Rodrigo,Playboi Carti,Olivia Rodrigo,Kevin Abstract,Nelly Furtado,Ariana Grande,The Smashing Pumpkins,The Smashing Pumpkins,Cigarettes After Sex,ABBA,SZA,The 1975,BROCKHAMPTON,Carly Simon,Declan McKenna,Ice Spice,Kacey Musgraves,Omar Apollo,Declan McKenna,SZA,"Tyler, The Creator",Lucy Dacus,Ethel Cain,Lucy Dacus,Phoebe Bridgers,Lana Del Rey,Lorde,Conan Gray,Phoebe Bridgers,Lorde,Harry Styles,Ariana Grande,Zach Bryan,Noah Kahan,Fiona Apple,Ariana Grande,Noah Kahan,Chappell Roan,Gracie Abrams,Chappell Roan,"Tyler, The Creator",ROLE MODEL,Audrey Hobert,Kacey Musgraves,grentperez,Clairo,boygenius,Addison Rae,Jeff Goldblum,Addison Rae,The 1975,Declan McKenna
11,Aminé,Nebu Kiniza,Aminé,Drake,Marc E. Bassy,J. Cole,Bhad Bhabie,Sheck Wes,KYLE,Rae Sremmurd,ODESZA,Action Bronson,Future,Lil Uzi Vert,Rae Sremmurd,Alina Baraz,J. Cole,Cardi B,Lil Nas X,Tiny Meat Gang,Juice WRLD,Queen,KILLY,Corinne Bailey Rae,Frank Ocean,MadeinTYO,Yung Gravy,Dominic Fike,Corinne Bailey Rae,Action Bronson,COTIS,Chance the Rapper,Peach Tree Rascals,Flo Milli,BROCKHAMPTON,Childish Gambino,BROCKHAMPTON,Megan Thee Stallion,Jaden,Dua Lipa,Harry Styles,Wallows,Flo Milli,Frank Ocean,Travis Scott,Kali Uchis,ABBA,Kevin Abstract,Frank Ocean,Phoebe Bridgers,Phoebe Bridgers,SZA,Frank Ocean,Mitski,Olivia Rodrigo,Nelly Furtado,The 1975,Kevin Abstract,Harry Styles,Azealia Banks,Azealia Banks,SZA,Doja Cat,Glee Cast,Doja Cat,Phoebe Bridgers,Glee Cast,Glee Cast,Ice Spice,Kali Uchis,Paolo Nutini,Ethel Cain,Mitski,Olivia Rodrigo,Iron & Wine,Kacey Musgraves,Gracie Abrams,boygenius,"Tyler, The Creator",Lana Del Rey,Clairo,Noah Kahan,Phoebe Bridgers,Lucy Dacus,Kendrick Lamar,beabadoobee,Malcolm Todd,"Tyler, The Creator",PinkPantheress,Mariah Carey,Sheryl Crow,Gracie Abrams,Gracie Abrams,Chappell Roan,Chappell Roan,Ethel Cain,Addison Rae,Kacey Musgraves
12,Rich Homie Quan,Harry Styles,6ix9ine,Migos,Migos,Childish Gambino,KYLE,Dennis Lloyd,Ed Sheeran,Shawn Mendes,Frank Sinatra,DRAM,BROCKHAMPTON,Post Malone,Kendrick Lamar,Lil Peep,Kendrick Lamar,Calvin Harris,Erik Satie,bbno$,Kid Cudi,Kali Uchis,Auli'i Cravalho,"Tyler, The Creator",KYLE,Surfaces,The Weeknd,Kali Uchis,Mura Masa,KYLE,Action Bronson,Rex Orange County,Oh Wonder,The Long Faces,Childish Gambino,Aerosmith,KIDS SEE GHOSTS,Jaden,Kanye West,Jaden,Chance the Rapper,Kali Uchis,Kali Uchis,The Rolling Stones,Kevin Abstract,SZA,SZA,Kali Uchis,Phoebe Bridgers,ABBA,PinkPantheress,Rex Orange County,COIN,SZA,Nelly Furtado,PinkPantheress,Nelly Furtado,Doja Cat,The Beatles,Doja Cat,Doja Cat,Declan McKenna,Declan McKenna,Rex Orange County,Big Red Machine,Doja Cat,Troye Sivan,Doja Cat,Nicki Minaj,Declan McKenna,Big Red Machine,Olivia Rodrigo,Sabrina Carpenter,Shania Twain,Lana Del Rey,Travis Scott,Kacey Musgraves,Olivia Rodrigo,Omar Apollo,Bruce Springsteen,Billy Joel,Clairo,beabadoobee,Lana Del Rey,Olivia Rodrigo,SZA,Olivia Rodrigo,Kali Uchis,Charli xcx,Gigi Perez,Lucy Dacus,Taylor Swift,Mariah Carey,Phoebe Bridgers,ROLE MODEL,Jeff Goldblum,Ethel Cain,Kali Uchis
13,Nebu Kiniza,Playboi Carti,Migos,Aminé,BANKS,KYLE,Kendrick Lamar,Pusha T,Alina Baraz,Kid Cudi,Aminé,Shaggy,Aminé,Drake,J. Cole,Aminé,21 Savage,Juice WRLD,Brendan Maclean,Lil Nas X,Queen,Auli'i Cravalho,Johann Pachelbel,KILLY,Corinne Bailey Rae,Post Malone,Alex Brightman,Comethazine,KYLE,Chance the Rapper,Trippie Redd,Oh Wonder,Rex Orange County,blackbear,blackbear,Tino Drima,Ariana Grande,The Long Faces,Don Toliver,Queen,Kali Uchis,Worrystone,Harry Styles,Mac Miller,Amy Winehouse,Mac Miller,Mac Miller,Mac Miller,Mac Miller,Rex Orange County,Kevin Abstract,Phoebe Bridgers,Mitski,ABBA,Kevin Abstract,Declan McKenna,Carrie Underwood,Nelly Furtado,Kevin Abstract,Olivia Rodrigo,Olivia Rodrigo,Ethel Cain,Keith Urban,Declan McKenna,Mitski,PinkPantheress,boygenius,Troye Sivan,Kacey Musgraves,Troye Sivan,"Tyler, The Creator",Mitski,Ethel Cain,Sabrina Carpenter,Little Big Town,Tim McGraw,Kendrick Lamar,Kacey Musgraves,Bruce Springsteen,Clairo,Addison Rae,Chappell Roan,Gigi Perez,Zach Bryan,Jonathan Bailey,Olivia Rodrigo,Frank Ocean,PinkPantheress,Cynthia Erivo,grentperez,Mariah Carey,"Tyler, The Creator","Tyler, The Creator",Ariana Grande,Gracie Abrams,Phoebe Bridgers,ROLE MODEL,Bad Bunny
14,Famous Dex,KILLY,6LACK,Kodak Black,Mura Masa,Rex Orange County,Rae Sremmurd,Lil Baby,KILLY,Action Bronson,Bobby Helms,Kendrick Lamar,Khalid,KYLE,KILLY,6LACK,Jaden,B.o.B,The Wild Conductor,Matt Simons,Kendrick Lamar,Migos,Queen,Arizona Zervas,MadeinTYO,Billie Eilish,Billie Eilish,Nebu Kiniza,Chance the Rapper,Beyoncé,The Beatles,Travis Scott,Mac Miller,Ariana Grande,Corinne Bailey Rae,Rex Orange County,Corinne Bailey Rae,Tino Drima,Ariana Grande,Chance the Rapper,Miley Cyrus,A$AP Rocky,Ariana Grande,ABBA,Harry Styles,Earl Sweatshirt,Rex Orange County,Olivia Rodrigo,Playboi Carti,Anderson .Paak,Kali Uchis,COIN,Hannah Montana,Phoebe Bridgers,Pharrell Williams,SZA,Mitski,Lana Del Rey,Kali Uchis,Keith Urban,Paul Simon,Steve Lacy,Olivia Rodrigo,The Chicks,Glee Cast,Ethel Cain,The Beatles,Carly Rae Jepsen,Troye Sivan,Ice Spice,1017 ALYX 9SM,Doja Cat,Clairo,Playboi Carti,Del Water Gap,Eric Church,Lana Del Rey,Lorde,The 1975,Ariana Grande,Kacey Musgraves,Phoebe Bridgers,Charli xcx,Kendrick Lamar,Lucy Dacus,Lana Del Rey,Rocco,Chappell Roan,Gracie Abrams,Lucy Dacus,Gracie Abrams,Addison Rae,Clairo,Lorde,Wicked Movie Cast,ROLE MODEL,Lucy Dacus,Avril Lavigne
15,Childish Gambino,A$AP Mob,XXXTENTACION,KYLE,KILLY,Khalid,Yung Gravy,Kero Kero Bonito,Kali Uchis,Paul Anka,Tony Bennett,Bruno Mars,Cardi B,Lil Yachty,Felly,The All-American Rejects,Nappy Roots,Lil Peep,Yann Tiersen,Anderson .Paak,bbno$,The All-American Rejects,BROCKHAMPTON,Chance the Rapper,KILLY,Kali Uchis,"Tyler, The Creator",BROCKHAMPTON,Jaden,Jaden,Beyoncé,John Mayer,Harry Styles,BROCKHAMPTON,Jaden,John Mayer,Sia,The Rolling Stones,blackbear,Paris Hilton,Juice WRLD,Kendrick Lamar,Worrystone,Wallows,Rex Orange County,Rex Orange County,Clairo,SZA,Childish Gambino,PinkPantheress,Jaden,ABBA,Lady Gaga,Sheryl Crow,Mitski,COIN,Harry Styles,Declan McKenna,Frank Ocean,Cigarettes After Sex,Miley Cyrus,Azealia Banks,Ethel Cain,Kacey Musgraves,PinkPantheress,Olivia Rodrigo,Frank Ocean,Nicki Minaj,Glee Cast,grentperez,Glee Cast,Manchester Orchestra,SZA,Frank Ocean,Lorde,Phoebe Bridgers,The 1975,Lucy Dacus,Frank Ocean,Billy Joel,Tate McRae,Charli xcx,Lorde,Doechii,Conan Gray,Tate McRae,Kendrick Lamar,Mac Miller,Lana Del Rey,Lana Del Rey,Lana Del Rey,Lana Del Rey,Lucy Dacus,Lucy Dacus,Ryan Beatty,Conan Gray,Ryan Beatty,SZA
